OBJECTID,Vehicle Year,Vehicle Make,Vehicle Model,Vehicle Style,Vehicle Colour,Vehicle Value,Weekday,Recovered,Neighbourhood,Ward,Sector,Reported Date,Occurred Date,Year,Intersection,Division,Census Tract,Time of Day,Councillor,Reported Hour,Occurred Hour,x,y
1,,,,,BLK,,Tuesday,Y,Centretown,Ward 14 - Somerset,Sector 23,6/19/2018 5:00:00 AM,6/19/2018 5:00:00 AM,2018,"ELGIN ST, GLOUCESTER ST",Central,5050037.00,Afternoon,Ariel Troster,1700,1500,367986.8978,5031476.5726
2,2017,JEEP,WRG,CARRY,BLK,53500,Monday,Y,Orléans Chapel Hill South,Ward 19 - Orléans South-Navan,Sector 31,6/19/2018 5:00:00 AM,6/18/2018 5:00:00 AM,2018,"RENAUD RD, PAGE, CHEMIN",East,5050125.06,Evening,Catherine Kitts,1700,1900,381704.9517,5032667.5439
3,,,,MOTO,BLK,,Wednesday,Y,Stittsville,Ward 6 - Stittsville,Sector 13,6/20/2018 5:00:00 AM,6/20/2018 5:00:00 AM,2018,"BRADLEY ST, CARLETON CATHCART ST",West,5050151.06,Night,Glen Gower,800,200,350914.7854,5013093.4174
4,2004,INFI,G35,4DR,BLK,,Thursday,Y,New Barrhaven - New Development - Stonebridge,Ward 24 - Barrhaven East,Sector 16,6/21/2018 5:00:00 AM,6/21/2018 5:00:00 AM,2018,"LANGRELL CRES, CHAPMAN MILLS DR",West,5050141.12,Night,Wilson Lo,1900,100,365187.1427,5014769.5062
5,2012,DODG,R15,PICKUP,RED,11000,Wednesday,Y,Trend-Arlington,Ward 9 - Knoxdale-Merivale,Sector 15,6/21/2018 5:00:00 AM,6/20/2018 5:00:00 AM,2018,"BELLMAN DR, MCCLELLAN RD",West,5050135.02,Evening,Sean Devine,1000,2000,360961.8697,5020792.4806
6,2000,TOYT,CAM,4DR,BRN,,Saturday,Y,Lowertown,Ward 12 - Rideau-Vanier,Sector 24,6/23/2018 5:00:00 AM,6/23/2018 5:00:00 AM,2018,"CLARENCE ST, KING EDWARD AVE",Central,5050056.00,Afternoon,Stéphanie Plante,1600,1600,368353.897,5032691.5833
7,2010,DODG,JOU,CARRY,SIL,,Saturday,Y,Lowertown,Ward 12 - Rideau-Vanier,Sector 24,6/24/2018 5:00:00 AM,6/23/2018 5:00:00 AM,2018,"BEAUSOLEIL DR, CHAPEL ST",Central,5050053.00,Evening,Stéphanie Plante,700,2100,368822.7537,5032742.3546
8,2010,HYUN,TUC,CARRY,BRZ,,Sunday,Y,Cummings,Ward 11 - Beacon Hill-Cyrville,Sector 32,6/24/2018 5:00:00 AM,6/24/2018 5:00:00 AM,2018,"DONALD ST, FINDON GT",East,5050122.01,Morning,Tim Tierney,1200,600,372421.3413,5032446.7359
9,2015,HOND,CRV,CARRY,BLK,27000,Sunday,N,Pineview,Ward 11 - Beacon Hill-Cyrville,Sector 32,6/24/2018 5:00:00 AM,6/24/2018 5:00:00 AM,2018,"BEAVERPOND DR, HALLMARK PL N",East,5050122.02,,Tim Tierney,900,,374984.9227,5032073.5631
10,2016,HOND,CIV,4DR,SIL,,Sunday,Y,New Barrhaven - New Development - Stonebridge,Ward 3 - Barrhaven West,Sector 16,6/24/2018 5:00:00 AM,6/24/2018 5:00:00 AM,2018,"BURRITTS RAPIDS PL, FOXHOUND WAY",West,5050141.15,Afternoon,David Hill,1500,1500,363990.798,5012498.913
11,2011,SUBA,,4DR,BLK,5000,Monday,Y,South Keys - Heron Gate - Greenboro West,Ward 10 - Gloucester-Southgate,Sector 35,6/25/2018 5:00:00 AM,6/25/2018 5:00:00 AM,2018,"BANK ST, HUNT CLUB RD",East,5050001.04,Afternoon,Jessica Bradley,1500,1500,371608.9231,5024095.5107
12,2000,GMC,SIE,PICKUP,BLK,,Saturday,N,Orléans Queenswood Heights,Ward 2 - Orléans West-Innes,Sector 31,6/25/2018 5:00:00 AM,6/23/2018 5:00:00 AM,2018,"CLAIBORNE WAY, CLAIBORNE WAY, CLAIBORNE WAY",East,5050170.04,Morning,Laura Dudas,1600,800,382395.7088,5036306.3292
13,2006,FORD,EC1,VAN,RED,,Monday,N,Stittsville,Ward 6 - Stittsville,Sector 13,6/25/2018 5:00:00 AM,6/18/2018 5:00:00 AM,2018,"HAZELDEAN RD, SOBEYS SC / 195 W OF CARP RD",West,5050151.07,,Glen Gower,1800,,348697.6787,5014200.3379
14,,,,,WHI,3300,Sunday,N,Laurentian,Ward 7 - Bay,Sector 14,6/25/2018 5:00:00 AM,6/24/2018 5:00:00 AM,2018,"SAVILLE ROW, BETWEEN HAYMARKET ST & LOCKHART AVE",West,5050032.01,Evening,Theresa Kavanagh,1300,2000,362009.8564,5026288.5047
15,2018,HYUN,ELN,4DR,WHI,25000,Monday,Y,Byward Market,Ward 12 - Rideau-Vanier,Sector 24,6/25/2018 5:00:00 AM,6/25/2018 5:00:00 AM,2018,"YORK ST, 72M EAST OF SUSSEX DR ",Central,5050054.00,Afternoon,Stéphanie Plante,1200,1200,367866.9792,5032274.2567
16,2008,MITS,LAN,4DR,WHI,,Saturday,N,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Ward 1 - Orléans East-Cumberland,Sector 31,6/25/2018 5:00:00 AM,6/2/2018 5:00:00 AM,2018,"NESTING WAY, PETITE LANE",East,5050170.13,Morning,Matthew Luloff,200,1000,385473.9562,5037052.5541
17,2002,MINI,COO,2DR,SIL,,Monday,Y,Overbrook - McArthur,Ward 13 - Rideau-Rockcliffe,Sector 25,6/25/2018 5:00:00 AM,6/25/2018 5:00:00 AM,2018,"COVENTRY RD, 230 W OF ST. LAURENT BLVD, ST. LAURENT SC EAST",Central,5050012.00,Afternoon,Rawlson King,1800,1500,372080.927,5031932.4512
18,,,,MOTO,BLUBGE,,Tuesday,N,Lowertown,Ward 12 - Rideau-Vanier,Sector 24,6/26/2018 5:00:00 AM,6/26/2018 5:00:00 AM,2018,"CUMBERLAND ST, RIDEAU ST",Central,5050053.00,Afternoon,Stéphanie Plante,1500,1200,368374.7039,5032328.9694
19,2012,MITS,,,DGR,50000,Monday,N,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Ward 1 - Orléans East-Cumberland,Sector 31,6/26/2018 5:00:00 AM,5/21/2018 5:00:00 AM,2018,"TAYLOR CREEK DR, VIMONT CRT",East,5050170.11,Morning,Matthew Luloff,800,700,384123.1444,5039635.9057
20,2017,LEXS,RX5,CARRY,GRY,,Tuesday,Y,Ottawa South,Ward 17 - Capital,Sector 22,6/27/2018 5:00:00 AM,6/26/2018 5:00:00 AM,2018,"RIDEAU RIVER DR, SUNNYSIDE AVE",Central,5050016.00,Evening,Shawn Menard,1100,2300,369499.6236,5029006.3019
21,2012,CHEV,ORL,CARRY,GRY,,Saturday,Y,Ledbury - Heron Gate - Ridgemont - Elmwood,Ward 18 - Alta Vista,Sector 34,6/27/2018 5:00:00 AM,6/23/2018 5:00:00 AM,2018,"BAYCREST DR, CEDARWOOD DR",East,5050007.02,Morning,Marty Carr,1100,1100,371229.9182,5026788.5314
22,2007,NISS,ALT,4DR,BRN,,Thursday,Y,Orléans Chapel Hill,Ward 2 - Orléans West-Innes,Sector 31,6/28/2018 5:00:00 AM,6/28/2018 5:00:00 AM,2018,"MEADOWFIELD PL, PIEDMONT PL",East,5050125.04,Night,Laura Dudas,0,0,379816.9351,5034945.5675
23,2010,MERZ,250,4DR,BLU,,Wednesday,N,Woodvale - Craig Henry - Manordale - Estates of Arlington Woods,Ward 9 - Knoxdale-Merivale,Sector 15,6/29/2018 5:00:00 AM,6/27/2018 5:00:00 AM,2018,"CHARTWELL AVE E, CRAIG HENRY DR",West,5050135.01,Afternoon,Sean Devine,1600,1600,362476.8785,5021864.4903
24,2006,,,,GRN,,Friday,Y,Vars,Ward 20 - Osgoode,Sector 37,6/29/2018 5:00:00 AM,6/29/2018 5:00:00 AM,2018,"DEVINE RD, DUNNING RD",East,5050171.03,Night,George Darouze,400,400,397385.0798,5025070.4497
25,2005,HOND,ACC,4DR,DBL,,Thursday,Y,Katimavik - Hazeldean,Ward 23 - Kanata South,Sector 13,6/29/2018 5:00:00 AM,6/28/2018 5:00:00 AM,2018,"MCCLINTOCK WAY, MCCLURE CRES S",West,5050160.04,Afternoon,Allan Hubley,800,1400,352172.8103,5018903.4631
26,2013,AUDI,AA6,,BLU,,Friday,Y,Kanata Lakes - Marchwood Lakeside - Morgan's Grant - Kanata North Business Park,Ward 4 - Kanata North,Sector 13,6/29/2018 5:00:00 AM,6/29/2018 5:00:00 AM,2018,"TERRY FOX DR, 329 N OF CAMPEAU DR, SIGNATURE CENTRE",West,5050160.03,Night,Cathy Curry,200,200,350122.5556,5019031.9342
27,,,,,,500,Friday,N,Orléans North West,Ward 2 - Orléans West-Innes,Sector 31,6/29/2018 5:00:00 AM,6/29/2018 5:00:00 AM,2018,"JEANNE D'ARC BLVD, MILLWOOD CRT",East,5050124.03,Evening,Laura Dudas,200,2300,380182.9261,5038170.593
28,,,,,,,Friday,N,Navan - Carlsbad Springs,Ward 19 - Orléans South-Navan,Sector 37,6/30/2018 5:00:00 AM,6/29/2018 5:00:00 AM,2018,"RUSSELL RD, SAND RD",East,5050171.03,Evening,Catherine Kitts,900,2100,391108.0277,5025919.4758
29,2014,KUBO,B335,OTHER,ONG,27000,Thursday,N,Rothwell Heights - Beacon Hill North,Ward 11 - Beacon Hill-Cyrville,Sector 32,6/30/2018 5:00:00 AM,6/28/2018 5:00:00 AM,2018,"BICKERTON AVE, STILES CRES S",East,5050120.02,Evening,Tim Tierney,1100,2100,375752.9159,5035654.5905
30,2003,MERZ,G55,CARRY,BLK,,Friday,N,Vanier North,Ward 12 - Rideau-Vanier,Sector 25,6/30/2018 5:00:00 AM,6/29/2018 5:00:00 AM,2018,"EMOND ST, MONTREAL RD",Central,5050101.00,Evening,Stéphanie Plante,300,2200,370195.3333,5033129.8015
31,2008,CHEV,,VAN,RED,,Friday,N,Pierces Corners,Ward 21 - Rideau-Jock,Sector 12,7/1/2018 5:00:00 AM,6/29/2018 5:00:00 AM,2018,"DONNELLY DR, REDDICK LANE",West,5050200.01,Evening,David Brown,1300,1800,363548.0152,4985817.2115
32,2010,AUDI,AA3,4DR,BLK,,Sunday,Y,Centretown,Ward 14 - Somerset,Sector 23,7/2/2018 5:00:00 AM,7/1/2018 5:00:00 AM,2018,"FRANK ST, METCALFE ST",Central,5050037.00,Afternoon,Ariel Troster,1200,1200,368196.3463,5030805.4603
33,2006,NISS,ALT,4DR,SIL,2000,Sunday,Y,Elmvale - Eastway - Riverview - Riverview Park West,Ward 18 - Alta Vista,Sector 33,7/2/2018 5:00:00 AM,7/1/2018 5:00:00 AM,2018,"NEIGHBOURHOOD WAY,ROLLAND AVE",East,5050011.04,Evening,Marty Carr,1200,2100,371071.9124,5030272.5576
34,2009,DODG,RPC,PICKUP,GRY,,Wednesday,Y,Centretown,Ward 14 - Somerset,Sector 23,7/3/2018 5:00:00 AM,6/27/2018 5:00:00 AM,2018,"ALBERT ST, BRONSON AVE",Central,5050048.00,Afternoon,Ariel Troster,1700,1700,366739.8951,5031015.5697
35,2010,NISS,ALT,4DR,GRY,,Tuesday,Y,Blackburn Hamlet,Ward 2 - Orléans West-Innes,Sector 31,7/3/2018 5:00:00 AM,7/3/2018 5:00:00 AM,2018,"BEARBROOK RD, 43 OF CENTREPARK DR S",East,5050125.01,Morning,Laura Dudas,1200,700,377903.8048,5033073.7746
36,2013,KIA,SPT,CARRY,WHI,,Monday,Y,Cityview - Skyline - Fisher Heights,Ward 9 - Knoxdale-Merivale,Sector 17,7/3/2018 5:00:00 AM,7/2/2018 5:00:00 AM,2018,"HIGWOOD DR, HILLIARD AVE",West,5050132.00,Afternoon,Sean Devine,1000,1200,365865.152,5024886.5447
37,2006,TOYT,UCS,4DR,GRY,4000,Tuesday,Y,East Industrial,Ward 18 - Alta Vista,Sector 33,7/3/2018 5:00:00 AM,7/3/2018 5:00:00 AM,2018,LAGAN WAY: SHORE ST,East,5050011.01,Night,Marty Carr,200,100,372938.0514,5030711.3141
38,2013,TOYT,COA,4DR,BLK,,Tuesday,Y,Overbrook - McArthur,Ward 12 - Rideau-Vanier,Sector 25,7/4/2018 5:00:00 AM,7/3/2018 5:00:00 AM,2018,"CARLOTTA AVE, MARGUERITE AVE",Central,5050101.00,Evening,Stéphanie Plante,1000,2100,370043.9656,5032594.2424
39,2011,MAZD,MX6,CARRY,SIL,,Tuesday,Y,New Barrhaven - New Development - Stonebridge,Ward 3 - Barrhaven West,Sector 16,7/4/2018 5:00:00 AM,7/3/2018 5:00:00 AM,2018,"CALDERWOOD WAY, BLACKSHIRE CIRC",West,5050141.04,Afternoon,David Hill,1600,1500,365898.7508,5013103.5248
40,2010,STOU,,OTHER,WHI,15000,Friday,Y,East Industrial,Ward 18 - Alta Vista,Sector 33,7/4/2018 5:00:00 AM,5/25/2018 5:00:00 AM,2018,"SANFORD FLEMING AVE, STEAMLINE ST",East,5050011.01,Morning,Marty Carr,1400,900,370872.7603,5030708.7435
41,2016,GMC,SAV,VAN,WHI,29000,Wednesday,Y,Overbrook - McArthur,Ward 13 - Rideau-Rockcliffe,Sector 25,7/4/2018 5:00:00 AM,7/4/2018 5:00:00 AM,2018,"DONALD ST, TELFORD AVE",Central,5050012.00,Morning,Rawlson King,1100,1100,371696.9093,5032426.5742
42,2017,HYUN,ELN,4DR,BLU,20000,Thursday,Y,Bridlewood - Emerald Meadows,Ward 23 - Kanata South,Sector 13,7/5/2018 5:00:00 AM,7/5/2018 5:00:00 AM,2018,"PINERY CRT, SPRINGWATER DR",West,5050161.04,Afternoon,Allan Hubley,1500,1400,354773.8258,5017636.4513
43,2011,BMW,,CARRY,WHI,,Thursday,Y,East Industrial,Ward 18 - Alta Vista,Sector 33,7/5/2018 5:00:00 AM,7/5/2018 5:00:00 AM,2018,"AVENUE O, TREMBLAY RD",East,5050011.01,Evening,Marty Carr,1800,1800,371706.0202,5031335.0459
44,2002,DODG,R15,PICKUP,SIL,,Thursday,Y,Iris,Ward 8 - College,Sector 15,7/5/2018 5:00:00 AM,7/5/2018 5:00:00 AM,2018,"DOMALATCHY PL, ADIRONDACK DR",West,5050026.00,Night,Laine Johnson,900,300,362277.8786,5024074.5099
45,2016,TOYT,RX3,CARRY,GRY,50000,Wednesday,N,Ottawa South,Ward 17 - Capital,Sector 22,7/5/2018 5:00:00 AM,7/4/2018 5:00:00 AM,2018,"AVENUE RD, GLENVIEW AVE",Central,5050016.00,Evening,Shawn Menard,800,2100,369382.9078,5029154.551
46,2008,DODG,CXT,4DR,BLU,3000,Thursday,Y,Constance Bay,Ward 5 - West Carleton-March,Sector 11,7/5/2018 5:00:00 AM,7/5/2018 5:00:00 AM,2018,"BAYVIEW DR, LANE ST N",West,5050302.00,Night,Clarke Kelly,500,500,337792.7995,5040196.675
47,2014,LEXS,GX46,CARRY,WHI,,Wednesday,N,Centretown,Ward 14 - Somerset,Sector 23,7/5/2018 5:00:00 AM,7/4/2018 5:00:00 AM,2018,"LEWIS ST, ROBERT ST",Central,5050049.00,Evening,Ariel Troster,1200,2100,368700.9807,5031270.2677
48,2001,,,MOTO,DBL,,Saturday,N,Byward Market,Ward 12 - Rideau-Vanier,Sector 24,7/7/2018 5:00:00 AM,7/7/2018 5:00:00 AM,2018,"DALY AVE, NICHOLAS ST",Central,5050054.00,Afternoon,Stéphanie Plante,1500,1200,368227.8979,5032045.5774
49,2008,AUDI,AQ7,4DR,GRY,,Saturday,N,Hunt Club Park,Ward 10 - Gloucester-Southgate,Sector 33,7/7/2018 5:00:00 AM,7/7/2018 5:00:00 AM,2018,"KARSH DR, MALAK ST",East,5050001.07,Afternoon,Jessica Bradley,1400,1200,374090.9317,5025832.5213
50,2004,FORD,FRE,VAN,RED,4000,Sunday,Y,Beaverbrook,Ward 4 - Kanata North,Sector 13,7/8/2018 5:00:00 AM,7/8/2018 5:00:00 AM,2018,"PENFIELD DR, PETRIE LANE",West,5050160.02,Morning,Cathy Curry,900,800,352534.8182,5020834.4798
51,2005,HOND,CIV,4DR,GRY,,Sunday,N,Hawthorne Meadows - Sheffield Glen,Ward 18 - Alta Vista,Sector 33,7/8/2018 5:00:00 AM,7/8/2018 5:00:00 AM,2018,"RUSSELL RD, SOUTHVALE CRES N",East,5050010.00,Evening,Marty Carr,200,2100,373800.7406,5029099.0749
52,2007,PONT,MTA,VAN,GRY,,Monday,N,Cummings,Ward 11 - Beacon Hill-Cyrville,Sector 32,7/9/2018 5:00:00 AM,7/9/2018 5:00:00 AM,2018,"CITY PARK DR, 170M SOUTH OF OGILVIE RD",East,5050122.03,Afternoon,Tim Tierney,1900,1700,374266.91,5032842.071
53,2016,MAZD,M3,4DR,BLU,,Sunday,Y,Hunt Club East - Western Community,Ward 16 - River,Sector 35,7/9/2018 5:00:00 AM,7/8/2018 5:00:00 AM,2018,"LILLICO DR, UPLANDS DR",East,5050002.05,Evening,Riley Brockington,1600,1900,370029.8888,5023277.556
54,2018,FORD,F25,PICKUP,BLK,12000,Friday,N,Greely,Ward 20 - Osgoode,Sector 36,7/9/2018 5:00:00 AM,7/6/2018 5:00:00 AM,2018,"MCKEOWN DR, OLD PRESCOTT RD",East,5050190.02,Morning,George Darouze,200,1100,377768.9537,5013959.4402
55,2017,LEXS,,CARRY,BLK,,Monday,N,Centretown,Ward 14 - Somerset,Sector 23,7/10/2018 5:00:00 AM,7/9/2018 5:00:00 AM,2018,"LEWIS ST, CARTIER ST",Central,5050037.00,Evening,Ariel Troster,700,2200,368428.9008,5031107.5686
56,2018,CHEV,SLV,PICKUP,BLK,50000,Wednesday,Y,Hunt Club - Ottawa Airport,Ward 10 - Gloucester-Southgate,Sector 35,7/10/2018 5:00:00 AM,7/4/2018 5:00:00 AM,2018,"AIRPORT PARKWAY PRIV, TRACKER PRIV",East,5050127.00,Afternoon,Jessica Bradley,1500,1500,370343.1152,5020748.3233
57,2007,HOND,ACC,4DR,SIL,1500,Monday,Y,Vanier South,Ward 13 - Rideau-Rockcliffe,Sector 25,7/10/2018 5:00:00 AM,7/9/2018 5:00:00 AM,2018,"ST. LAURENT BLVD, GUY ST, RIDEAU SS",Central,5050061.00,Evening,Rawlson King,900,2000,371862.5193,5033043.1873
58,2007,DODG,CVN,VAN,SIL,,Tuesday,Y,Hintonburg - Mechanicsville,Ward 15 - Kitchissippi,Sector 21,7/10/2018 5:00:00 AM,7/10/2018 5:00:00 AM,2018,"FAIRMONT AVE, WELLINGTON ST",Central,5050046.00,Night,Jeff Leiper,500,500,365556.1966,5029693.5028
59,2017,HYUN,SAN,CARRY,BLK,,Tuesday,Y,Katimavik - Hazeldean,Ward 23 - Kanata South,Sector 13,7/10/2018 5:00:00 AM,7/10/2018 5:00:00 AM,2018,"CLARKSON CRES, CLARKSON CRES, CLARKSON CRES",West,5050160.04,Night,Allan Hubley,900,0,353526.8191,5018610.4602
60,2017,MERZ,,2DR,BRN,113000,Tuesday,Y,New Barrhaven - New Development - Stonebridge,Ward 24 - Barrhaven East,Sector 16,7/10/2018 5:00:00 AM,7/10/2018 5:00:00 AM,2018,"GOOSEBERRY PL, TWINFLOWER WAY",West,5050141.05,Afternoon,Wilson Lo,1300,1300,364758.9536,5016517.7389
61,2018,MERZ,GLA,CARRY,WHI,60000,Saturday,N,Pierces Corners,Ward 21 - Rideau-Jock,Sector 12,11/17/2018 5:00:00 AM,11/17/2018 5:00:00 AM,2018,"BART'S LANE, MERLYN WILSON RD",West,5050200.01,Evening,David Brown,200,1800,369148.9963,4990444.8698
62,2018,TOYT,CAM,4DR,SIL,,Monday,Y,Orléans Chapel Hill,Ward 2 - Orléans West-Innes,Sector 31,7/10/2018 5:00:00 AM,7/9/2018 5:00:00 AM,2018,"FORESTCREST ST, GREENRIDGE ST",East,5050125.07,Evening,Laura Dudas,700,2100,380273.4,5036327.9653
63,2018,TOYT,4RN,CARRY,GRY,50000,Tuesday,N,Glebe - Dows Lake,Ward 17 - Capital,Sector 22,7/10/2018 5:00:00 AM,7/10/2018 5:00:00 AM,2018,"O'CONNOR ST, PATTERSON AVE",Central,5050036.00,Night,Shawn Menard,600,100,368401.7038,5030128.9607
64,2014,MERZ,C300,4DR,GRY,,Wednesday,Y,Hunt Club Upper -Blossom Park - Timbermill,Ward 10 - Gloucester-Southgate,Sector 35,7/11/2018 5:00:00 AM,7/11/2018 5:00:00 AM,2018,"WILD IRIS AVE, MEANDERING BROOK DR",East,5050123.02,Morning,Jessica Bradley,1300,800,372848.4089,5022837.6509
65,2017,FORD,TAU,4DR,WHI,,Wednesday,N,Emerald Woods - Sawmill Creek,Ward 10 - Gloucester-Southgate,Sector 35,7/12/2018 5:00:00 AM,5/2/2018 5:00:00 AM,2018,"ALBION RD, DES MESANGES DR",East,5050123.01,Morning,Jessica Bradley,800,800,371989.9249,5024018.5096
66,,,,,,,Wednesday,N,Cityview - Skyline - Fisher Heights,Ward 9 - Knoxdale-Merivale,Sector 17,7/12/2018 5:00:00 AM,7/11/2018 5:00:00 AM,2018,"ATTWOOD CRES W, DEER PARK RD W",West,5050132.00,Evening,Sean Devine,1000,1900,366172.8971,5025334.5216
67,2008,HOND,CRV,CARRY,BLU,,Wednesday,N,Bayshore,Ward 7 - Bay,Sector 14,7/12/2018 5:00:00 AM,7/11/2018 5:00:00 AM,2018,"BAYSHORE DR, BAYSHORE CS",West,5050138.00,Evening,Theresa Kavanagh,1300,2000,359142.6108,5023737.9584
68,2010,AUDI,AA4,4DR,GRY,,Thursday,Y,Greenboro East,Ward 10 - Gloucester-Southgate,Sector 35,7/13/2018 5:00:00 AM,7/12/2018 5:00:00 AM,2018,"LORRY GREENBERG DR, MARGRAVE AVE",East,5050001.05,Evening,Jessica Bradley,800,2200,372619.387,5025287.6946
69,2019,DODG,CVN,VAN,BLK,,Friday,Y,Centretown,Ward 14 - Somerset,Sector 23,7/13/2018 5:00:00 AM,7/13/2018 5:00:00 AM,2018,"KENT ST, MCLEOD ST",Central,5050039.00,Evening,Ariel Troster,200,2000,367788.734,5030392.7852
70,2002,HOND,CIV,4DR,BLK,,Friday,Y,Vanier South,Ward 12 - Rideau-Vanier,Sector 25,7/13/2018 5:00:00 AM,7/13/2018 5:00:00 AM,2018,"CYR AVE, GLADU ST",Central,5050101.00,Morning,Stéphanie Plante,700,700,370348.9036,5032779.5802
71,2008,HOND,ACC,4DR,BLK,,Friday,Y,Ledbury - Heron Gate - Ridgemont - Elmwood,Ward 16 - River,Sector 34,7/13/2018 5:00:00 AM,7/13/2018 5:00:00 AM,2018,"ALBION RD, HEATHERINGTON RD",East,5050001.01,Night,Riley Brockington,1300,100,371119.9183,5026145.5265
72,,,,MOTO,BLUWHI,,Thursday,Y,Vanier South,Ward 12 - Rideau-Vanier,Sector 25,7/13/2018 5:00:00 AM,7/12/2018 5:00:00 AM,2018,"BLAKE BLVD, LACASSE AVE",Central,5050100.00,Evening,Stéphanie Plante,1100,2000,370786.9054,5033017.5823
73,2001,TOYT,ECH,4DR,DGR,,Friday,Y,West Centertown,Ward 14 - Somerset,Sector 22,7/13/2018 5:00:00 AM,7/13/2018 5:00:00 AM,2018,"GLADSTONE AVE, CAMBRIDGE ST E",Central,5050042.00,Morning,Ariel Troster,700,700,367068.0285,5030035.149
74,2008,BMW,535,4DR,BLK,,Saturday,Y,Carson Grove - Carson Meadows,Ward 11 - Beacon Hill-Cyrville,Sector 32,7/14/2018 5:00:00 AM,7/14/2018 5:00:00 AM,2018,"OGILVIE RD, BATHGATE DR, CITYPARK DR W",East,5050122.03,Afternoon,Tim Tierney,1500,1500,373828.9169,5032799.5733
75,1999,FORD,EC1,VAN,WHI,1500,Saturday,Y,Rothwell Heights - Beacon Hill North,Ward 11 - Beacon Hill-Cyrville,Sector 32,7/15/2018 5:00:00 AM,7/14/2018 5:00:00 AM,2018,"CANOTEK RD, RAINBOW ST",East,5050120.02,Afternoon,Tim Tierney,1700,1700,376228.9196,5035169.5846
76,2017,VOLK,PAS,4DR,WHI,,Sunday,Y,Riverside South - Leitrim,Ward 22 - Riverside South-Findlay Creek,Sector 35,7/15/2018 5:00:00 AM,7/15/2018 5:00:00 AM,2018,"RIVER RD, RYEBURN DR",East,5050126.05,Morning,Steve Desroches,1800,1000,368049.9045,5016304.4492
77,2006,FORD,FE,4DR,GRY,,Sunday,Y,Glen Cairn - Kanata South Business Park,Ward 23 - Kanata South,Sector 13,7/16/2018 5:00:00 AM,7/15/2018 5:00:00 AM,2018,"RICKEY PL, MCKITRICK DR",West,5050162.02,Afternoon,Allan Hubley,900,1600,352813.8102,5016975.4465
78,2015,HYUN,ELN,4DR,BLK,,Sunday,Y,Constance Bay,Ward 5 - West Carleton-March,Sector 11,7/16/2018 5:00:00 AM,7/15/2018 5:00:00 AM,2018,"BAYVIEW DR, SPINNAKER WAY",West,5050302.00,Morning,Clarke Kelly,700,700,335839.6017,5039975.4941
79,2005,DODG,DAK,PICKUP,BLK,,Friday,Y,Ledbury - Heron Gate - Ridgemont - Elmwood,Ward 18 - Alta Vista,Sector 34,7/16/2018 5:00:00 AM,7/13/2018 5:00:00 AM,2018,"HERON RD, BAYCREST DR",East,5050007.02,Evening,Marty Carr,1200,2000,371146.2624,5026978.4056
80,2001,HOND,CIVI,4DR,SIL,,Tuesday,Y,New Barrhaven - New Development - Stonebridge,Ward 3 - Barrhaven West,Sector 16,7/16/2018 5:00:00 AM,6/26/2018 5:00:00 AM,2018,"BRAMBLING WAY, REGATTA AVE",West,5050141.15,Afternoon,David Hill,1200,1500,364662.02,5012494.5189
81,2004,TOYT,ECH,,GRY,,Sunday,Y,Bayshore,Ward 7 - Bay,Sector 14,7/16/2018 5:00:00 AM,7/15/2018 5:00:00 AM,2018,"WOODRIDGE CRES, BAYSHORE PS",West,5050138.00,Evening,Theresa Kavanagh,1100,2100,358787.8024,5023557.6934
82,,HOND,ACC,4DR,GRY,,Monday,N,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Ward 1 - Orléans East-Cumberland,Sector 31,7/16/2018 5:00:00 AM,7/16/2018 5:00:00 AM,2018,"TRENHOLM LANE, VARENNES BLVD",East,5050170.12,Morning,Matthew Luloff,1000,1000,385144.5573,5037769.2829
83,2012,HOND,CIV,4DR,SIL,,Tuesday,Y,Crestview - Meadowlands,Ward 8 - College,Sector 17,7/17/2018 5:00:00 AM,7/17/2018 5:00:00 AM,2018,"NAVAHO DR, NAVAHO DR",West,5050133.00,Afternoon,Laine Johnson,1300,1200,363180.746,5023928.5865
84,,CATE,,,,,Tuesday,Y,Laurentian,Ward 15 - Kitchissippi,Sector 14,7/19/2018 5:00:00 AM,7/17/2018 5:00:00 AM,2018,"BROADVIEW AVE, BYRON AVE",West,5050032.02,Afternoon,Jeff Leiper,700,1300,362696.0767,5027832.2835
85,2012,VOLK,JET,STWGN,BLK,,Wednesday,Y,Elmvale - Eastway - Riverview - Riverview Park West,Ward 18 - Alta Vista,Sector 33,7/19/2018 5:00:00 AM,7/18/2018 5:00:00 AM,2018,"FREEDOM PRIV, FREEDOM PRIV N",East,5050011.04,Evening,Marty Carr,800,2100,370990.0535,5029242.1248
86,2014,ISU,NQR,OTHER,WHI,,Tuesday,Y,Vars,Ward 19 - Orléans South-Navan,Sector 37,7/19/2018 5:00:00 AM,7/17/2018 5:00:00 AM,2018,"ROCKDALE RD, RUSSELL RD",East,5050171.03,Afternoon,Catherine Kitts,700,1700,393760.0443,5026971.4706
