OBJECTID,Vehicle Year,Vehicle Make,Vehicle Model,Vehicle Style,Vehicle Colour,Vehicle Value,Weekday,Recovered,Neighbourhood,Ward,Sector,Reported Date,Occurred Date,Year,Intersection,Division,Census Tract,Time of Day,Councillor,Reported Hour,Occurred Hour,x,y
3225,2012,MAZD,CX7,CARRY,BLK,5000,Sunday,Y,Elmvale - Eastway - Riverview - Riverview Park West,Ward 18 - Alta Vista,Sector 33,8/30/2021 5:00:00 AM,8/29/2021 5:00:00 AM,2021,"ACTON ST, STATION BLVD, AVALON PL",East,5050011.04,Morning,Marty Carr,1700,900,371323.9134,5029884.5546
3226,,,,MOTO,BLK,,Saturday,N,West Centertown,Ward 14 - Somerset,Sector 22,5/17/2020 5:00:00 AM,5/16/2020 5:00:00 AM,2020,"CAMBRIDGE ST, PRIMROSE AVE E",Central,5050041.00,Evening,Ariel Troster,1800,2200,366815.895,5030626.5659
3227,2010,CATE,299C,OTHER,BLKYEL,,Thursday,Y,Hintonburg - Mechanicsville,Ward 15 - Kitchissippi,Sector 21,3/24/2021 5:00:00 AM,3/18/2021 5:00:00 AM,2021,"ONIGAM ST, SIR JOHN A. MACDONALD PKY, SLIDELL ST",Central,5050046.00,Afternoon,Jeff Leiper,1100,1400,365156.8893,5030376.5648
3228,1993,TOYT,T10,PICKUP,REDMRN,6500,Monday,N,West Centertown,Ward 14 - Somerset,Sector 22,8/30/2021 5:00:00 AM,8/30/2021 5:00:00 AM,2021,"GLADSTONE AVE, CAMBRIDGE ST E",Central,5050042.00,Morning,Ariel Troster,700,700,367068.0285,5030035.149
3229,2013,BMW,528,4DR,GRY,25000,Thursday,N,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Ward 1 - Orléans East-Cumberland,Sector 31,5/18/2020 5:00:00 AM,5/14/2020 5:00:00 AM,2020,"BRIARGATE PRIV, BRIARGATE PRIV S",East,5050171.05,Night,Matthew Luloff,200,200,386548.2318,5037459.2981
3230,2003,FORD,SRW,PICKUP,WHI,,Monday,N,Stittsville,Ward 6 - Stittsville,Sector 13,3/24/2021 5:00:00 AM,3/22/2021 5:00:00 AM,2021,"IVA ST, SAVAGE DR",West,5050151.08,Afternoon,Glen Gower,1700,1700,350547.7555,5015241.4679
3231,2019,,,MOTO,BLKGRY,7000,Monday,Y,Centretown,Ward 14 - Somerset,Sector 23,8/30/2021 5:00:00 AM,8/30/2021 5:00:00 AM,2021,"COOPER ST, BANK ST",Central,5050038.00,Morning,Ariel Troster,1600,900,367652.3615,5030991.6699
3232,1997,FORD,ARO,VAN,WHI,,Wednesday,Y,Carson Grove - Carson Meadows,Ward 11 - Beacon Hill-Cyrville,Sector 32,3/25/2021 5:00:00 AM,3/24/2021 5:00:00 AM,2021,"ADLEY RD, CADBORO RD",East,5050122.03,Evening,Tim Tierney,1400,2000,373380.914,5033108.5762
3233,2019,LEXS,NXT,CARRY,WHI,,Sunday,N,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Ward 19 - Orléans South-Navan,Sector 31,5/18/2020 5:00:00 AM,5/17/2020 5:00:00 AM,2020,"CHINIAN ST E, FARINCOURT CRES",East,5050171.09,Evening,Catherine Kitts,1300,2000,383899.5824,5034988.2704
3234,2019,HOND,CRV,,GRYSIL,,Tuesday,N,Elmvale - Eastway - Riverview - Riverview Park West,Ward 18 - Alta Vista,Sector 33,8/31/2021 5:00:00 AM,8/31/2021 5:00:00 AM,2021,"ROLLAND AVE, SANTA CRUZ PRIV W",East,5050011.04,Evening,Marty Carr,200,2100,370984.5154,5030356.7157
3235,,,,,,,Thursday,Y,Greenbelt - Mer Bleue,Ward 19 - Orléans South-Navan,Sector 31,3/25/2021 5:00:00 AM,3/25/2021 5:00:00 AM,2021,"IDA ST, RENAUD RD",East,5050125.03,Afternoon,Catherine Kitts,1700,1700,378509.939,5031697.5503
3236,,KIA,SOR,,GRN,,Friday,N,Woodvale - Craig Henry - Manordale - Estates of Arlington Woods,Ward 9 - Knoxdale-Merivale,Sector 15,5/18/2020 5:00:00 AM,5/15/2020 5:00:00 AM,2020,"BAINBRIDGE AVE, CRAIG HENRY DR",West,5050135.01,Evening,Sean Devine,1300,1900,361419.8726,5021603.4876
3237,2013,FORD,FUS,4DR,GRY,,Friday,Y,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Ward 1 - Orléans East-Cumberland,Sector 31,3/27/2021 5:00:00 AM,3/26/2021 5:00:00 AM,2021,"MULDER AVE N, SCULLY WAY",East,5050170.13,Evening,Matthew Luloff,1000,1900,386130.4111,5037271.8619
3238,2013,DODG,CVN,VAN,BLK,,Saturday,Y,Borden Farm - Stewart Farm - Parkwood Hills - Fisher Glen,Ward 9 - Knoxdale-Merivale,Sector 17,8/31/2021 5:00:00 AM,8/14/2021 5:00:00 AM,2021,"NEWBURY AVE, TIVERTON DR",West,5050131.02,Evening,Sean Devine,800,1900,365285.8932,5024302.5128
3239,2018,LEXS,RX5,CARRY,SIL,,Monday,N,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Ward 19 - Orléans South-Navan,Sector 31,5/18/2020 5:00:00 AM,5/18/2020 5:00:00 AM,2020,"SANDMAN CRES E, CORELLI WAY",East,5050171.10,Night,Catherine Kitts,200,300,384921.0423,5035657.0064
3240,2018,HOND,CTU,4DR,WHI,,Tuesday,Y,Billings Bridge - Alta Vista,Ward 18 - Alta Vista,Sector 34,9/1/2021 5:00:00 AM,8/31/2021 5:00:00 AM,2021,"ALTA VISTA DR, RANDALL AVE",East,5050006.00,Afternoon,Marty Carr,600,1700,370411.1173,5027363.8841
3241,2010,ACUR,RDX,CARRY,WHI,8000,Saturday,N,Crestview - Meadowlands,Ward 8 - College,Sector 17,3/28/2021 5:00:00 AM,3/27/2021 5:00:00 AM,2021,"SULLIVAN AVE, VIEWMOUNT DR",West,5050134.00,Afternoon,Laine Johnson,200,1700,364023.4939,5022605.5692
3242,2011,DODG,CHA,4DR,RED,,Monday,Y,Whitehaven - Queensway Terrace North,Ward 7 - Bay,Sector 14,5/19/2020 5:00:00 AM,5/18/2020 5:00:00 AM,2020,"LATS PRIV, RIGA PRIV",West,5050029.00,Afternoon,Theresa Kavanagh,1100,1700,359528.5645,5024412.9614
3243,2020,HOND,CTU,4DR,BLU,,Tuesday,Y,Elmvale - Eastway - Riverview - Riverview Park West,Ward 17 - Capital,Sector 33,9/1/2021 5:00:00 AM,8/31/2021 5:00:00 AM,2021,"HINCKS LANE E, RIVERSIDE DR",East,5050011.03,Evening,Shawn Menard,1100,2200,370267.9095,5030198.5587
3244,2021,TOYT,CSE,4DR,BLU,,Monday,Y,Ledbury - Heron Gate - Ridgemont - Elmwood,Ward 10 - Gloucester-Southgate,Sector 34,3/29/2021 5:00:00 AM,3/29/2021 5:00:00 AM,2021,"ALBION RD, WALKLEY RD, COLLISTON CRES E",East,5050001.01,Evening,Jessica Bradley,200,2100,371033.9183,5026353.5274
3245,,ACUR,RDX,CARRY,WHI,,Monday,Y,Orléans North West,Ward 2 - Orléans West-Innes,Sector 31,5/19/2020 5:00:00 AM,5/18/2020 5:00:00 AM,2020,"DRIFTWOOD CRES W, VOYAGEUR DR W",East,5050124.03,Night,Laura Dudas,900,300,378634.9212,5037510.5953
3246,2014,DODG,CAR,VAN,BLK,,Tuesday,N,Ledbury - Heron Gate - Ridgemont - Elmwood,Ward 10 - Gloucester-Southgate,Sector 34,9/1/2021 5:00:00 AM,8/31/2021 5:00:00 AM,2021,"FAIRLEA CRES, HEATHERINGTON RD N",East,5050001.01,Night,Jessica Bradley,1300,200,371809.9211,5026691.5292
