OBJECTID,ID,Reported Date,Reported Hour,Reported Year,Occurred Date,Occurred Hour,Occurred Year,Time of Day,Weekday,Day of Week,Neighbourhood,Sector,Division,Ward,Councillor,Census Tract,Level of Injury,x,y
46,208,1/1/2021 5:00:00 AM,400,2021,1/1/2021 5:00:00 AM,400,2021,Night,Friday,5,Kanata Lakes - Marchwood Lakeside - Morgan's Grant - Kanata North Business Park,13,West,Ward 4 - Kanata North,Cathy Curry,5050160.10,MAJOR,349345.6065,5023821.49009946
47,10365,2/6/2019 5:00:00 AM,200,2019,2/6/2019 5:00:00 AM,200,2019,Night,Wednesday,3,Kanata Lakes - Marchwood Lakeside - Morgan's Grant - Kanata North Business Park,13,West,Ward 4 - Kanata North,Cathy Curry,5050160.11,,350175.6181,5023443.01099946
48,11667,7/8/2022 5:00:00 AM,1600,2022,7/8/2022 5:00:00 AM,1600,2022,Afternoon,Friday,5,Manotick East,36,East,Ward 20 - Osgoode,George Darouze,5050191.01,NONE,374750.738900004,5010524.41209946
49,2951,2/9/2021 5:00:00 AM,1900,2021,2/9/2021 5:00:00 AM,1900,2021,Evening,Tuesday,2,Greely,36,East,Ward 20 - Osgoode,George Darouze,5050190.02,MAJOR,375756.338100006,5013687.53399946
50,14063,7/24/2023 5:00:00 AM,1400,2023,7/24/2023 5:00:00 AM,1400,2023,Afternoon,Monday,1,Metcalfe,36,East,Ward 20 - Osgoode,George Darouze,5050190.02,,380791.367900006,5011926.31699946
51,14854,8/19/2023 5:00:00 AM,300,2023,8/19/2023 5:00:00 AM,300,2023,Night,Saturday,6,Russell - Edwards,37,East,Ward 20 - Osgoode,George Darouze,5050126.04,,383016.791000009,5023978.49699946
52,7678,1/2/2022 5:00:00 AM,1400,2022,1/2/2022 5:00:00 AM,900,2022,Morning,Sunday,7,Russell - Edwards,37,East,Ward 20 - Osgoode,George Darouze,5050190.01,MINOR,385848.46070001,5020858.82139946
53,14874,10/12/2022 5:00:00 AM,1700,2022,10/12/2022 5:00:00 AM,1700,2022,Afternoon,Wednesday,3,Russell - Edwards,37,East,Ward 20 - Osgoode,George Darouze,5050126.04,NONE,380306.780000008,5020069.48109946
54,7694,7/10/2021 5:00:00 AM,1700,2021,7/10/2021 5:00:00 AM,1700,2021,Afternoon,Saturday,6,Vanier South,25,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050102.00,NONE,370927.712900003,5033170.58789946
55,5653,6/13/2021 5:00:00 AM,200,2021,6/13/2021 5:00:00 AM,2100,2021,Evening,Sunday,7,Vanier North,25,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050101.00,,370330.460000003,5033208.44009946
56,12817,4/2/2021 5:00:00 AM,1400,2021,4/2/2021 5:00:00 AM,1400,2021,Afternoon,Friday,5,Overbrook - McArthur,25,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050101.00,,370222.274700003,5033145.94129946
57,14581,4/19/2022 5:00:00 AM,500,2022,4/19/2022 5:00:00 AM,500,2022,Night,Tuesday,2,Vanier South,25,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050101.00,MAJOR,370340.711000004,5032924.58709946
58,3294,2/17/2018 5:00:00 AM,1200,2018,2/17/2018 5:00:00 AM,1200,2018,Afternoon,Saturday,6,Vanier South,25,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050102.00,MAJOR,370514.991200004,5033312.57299946
59,12170,8/27/2022 5:00:00 AM,1700,2022,8/27/2022 5:00:00 AM,1700,2022,Afternoon,Saturday,6,Carlington,21,Central,Ward 16 - River,Riley Brockington,5050022.00,,364382.695900001,5026190.53209946
60,12956,8/2/2021 5:00:00 AM,200,2021,8/2/2021 5:00:00 AM,2300,2021,Evening,Monday,1,Carlington,21,Central,Ward 16 - River,Riley Brockington,5050022.00,MAJOR,364641.697000002,5026261.53209946
61,12956,1/7/2023 5:00:00 AM,1900,2023,1/7/2023 5:00:00 AM,1900,2023,Evening,Saturday,6,Carlington,21,Central,Ward 16 - River,Riley Brockington,5050022.00,,364641.697000002,5026261.53209946
62,12135,7/27/2020 5:00:00 AM,0,2020,7/27/2020 5:00:00 AM,0,2020,Night,Monday,1,Carlington,21,Central,Ward 16 - River,Riley Brockington,5050021.00,NONE,365209.698900002,5026651.53589946
63,13354,3/22/2022 5:00:00 AM,200,2022,3/22/2022 5:00:00 AM,2100,2022,Evening,Tuesday,2,Carlington,21,Central,Ward 16 - River,Riley Brockington,5050022.00,MAJOR,364789.697000001,5026653.53589946
64,12408,8/19/2018 5:00:00 AM,400,2018,8/19/2018 5:00:00 AM,400,2018,Night,Sunday,7,Carlington,21,Central,Ward 16 - River,Riley Brockington,5050022.00,,364916.1569,5027526.15609946
65,7202,10/6/2018 5:00:00 AM,1700,2018,10/6/2018 5:00:00 AM,1700,2018,Afternoon,Saturday,6,Carlington,21,Central,Ward 16 - River,Riley Brockington,5050022.00,MINOR,364844.6981,5026809.53699946
66,10962,6/28/2023 5:00:00 AM,1000,2023,6/28/2023 5:00:00 AM,1000,2023,Morning,Wednesday,3,Carlington,21,Central,Ward 16 - River,Riley Brockington,5050022.00,,364049.694000003,5026375.53289946
67,34926,6/2/2023 5:00:00 AM,500,2023,6/2/2023 5:00:00 AM,500,2023,Night,Friday,5,Carlington,21,Central,Ward 16 - River,Riley Brockington,5050022.00,,364462.493100002,5026097.12009946
68,8856,3/3/2018 5:00:00 AM,1900,2018,3/3/2018 5:00:00 AM,200,2018,Night,Saturday,6,Braemar Park - Bel Air Heights - Copeland Park,17,West,Ward 8 - College,Laine Johnson,5050024.00,,362458.600800002,5024005.90749946
69,1865,5/9/2020 5:00:00 AM,200,2020,5/9/2020 5:00:00 AM,2000,2020,Evening,Saturday,6,Bells Corners East,15,West,Ward 8 - College,Laine Johnson,5050136.01,NONE,357493.015100002,5019750.19889946
